Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
1.00253605396052e+08	6.87650314388313e-01,-1.87182344593597e-01	1.36461977773182e-03,1.09613617130039e-02	-2.02469947029988e+01,3.55464094922260e+00	9.50077704908484e-01,-1.47771099534651e-01
1.00276692299659e+08	6.87636441939227e-01,-1.87223309383530e-01	1.36522291604686e-03,1.09637956543546e-02	-2.02467464888108e+01,3.55542137689709e+00	9.50067240944292e-01,-1.47803522029071e-01
1.00299784519833e+08	6.87622563768836e-01,-1.87264281074697e-01	1.36582630090730e-03,1.09662300997998e-02	-2.02464981748893e+01,3.55620192415224e+00	9.50056772781593e-01,-1.47835948898689e-01
1.00322882057800e+08	6.87608679203616e-01,-1.87305261637846e-01	1.36642996647185e-03,1.09686650420473e-02	-2.02462497443359e+01,3.55698265358656e+00	9.50046299694120e-01,-1.47868383816915e-01
1.00345984914784e+08	6.87594788421209e-01,-1.87346250570017e-01	1.36703390334194e-03,1.09711004832182e-02	-2.02460012017913e+01,3.55776354772985e+00	9.50035821886735e-01,-1.47900825704217e-01
1.00369093092010e+08	6.87580891444564e-01,-1.87387247868921e-01	1.36763810929689e-03,1.09735364238616e-02	-2.02457525483075e+01,3.55854460230815e+00	9.50025339420017e-01,-1.47933274156910e-01
1.00392206590702e+08	6.87566988760299e-01,-1.87428252034188e-01	1.36824256058708e-03,1.09759728692511e-02	-2.02455037957048e+01,3.55932577353027e+00	9.50014852787997e-01,-1.47965726746002e-01
1.00415325412088e+08	6.87553079963486e-01,-1.87469264027057e-01	1.36884728092394e-03,1.09784098144443e-02	-2.02452549324280e+01,3.56010710476946e+00	9.50004361447030e-01,-1.47998186484073e-01
1.00438449557391e+08	6.87539164961545e-01,-1.87510284358500e-01	1.36945227143136e-03,1.09808472591909e-02	-2.02450059577337e+01,3.56088859788863e+00	9.49993865417536e-01,-1.48030652957561e-01
1.00461579027839e+08	6.87525243427839e-01,-1.87551314015022e-01	1.37005754814339e-03,1.09832852001007e-02	-2.02447568636698e+01,3.56167028211284e+00	9.49983364365679e-01,-1.48063127804661e-01
1.00484713824658e+08	6.87511316312654e-01,-1.87592350000480e-01	1.37066306577936e-03,1.09857236471748e-02	-2.02445076728200e+01,3.56245207418232e+00	9.49972859218460e-01,-1.48095606573035e-01
1.00507853949074e+08	6.87497382864529e-01,-1.87633394813202e-01	1.37126885807545e-03,1.09881625930712e-02	-2.02442583682555e+01,3.56323403579821e+00	9.49962349312893e-01,-1.48128092240843e-01
1.00530999402313e+08	6.87483443645279e-01,-1.87674446432485e-01	1.37187490183430e-03,1.09906020430749e-02	-2.02440089617551e+01,3.56401612424872e+00	9.49951835076422e-01,-1.48160583083284e-01
1.00554150185604e+08	6.87469497747745e-01,-1.87715507857269e-01	1.37248123802314e-03,1.09930419882532e-02	-2.02437594327794e+01,3.56479841444478e+00	9.49941315701031e-01,-1.48193082755706e-01
1.00577306300174e+08	6.87455545927831e-01,-1.87756576580992e-01	1.37308783240895e-03,1.09954824362528e-02	-2.02435097985083e+01,3.56558084344574e+00	9.49930791863992e-01,-1.48225588171686e-01
1.00600467747249e+08	6.87441588091697e-01,-1.87797653118753e-01	1.37369468616654e-03,1.09979233868156e-02	-2.02432600581773e+01,3.56636341321947e+00	9.49920263585268e-01,-1.48258098922846e-01
1.00623634528060e+08	6.87427623986866e-01,-1.87838737937059e-01	1.37430181593579e-03,1.10003648365385e-02	-2.02430102037614e+01,3.56714615407827e+00	9.49909730462805e-01,-1.48290617351932e-01
1.00646806643832e+08	6.87413653983755e-01,-1.87879830054098e-01	1.37490920133362e-03,1.10028067899058e-02	-2.02427602452839e+01,3.56792902849478e+00	9.49899192951120e-01,-1.48323141026000e-01
1.00669984095796e+08	6.87399677638384e-01,-1.87920930972850e-01	1.37551686181727e-03,1.10052492426976e-02	-2.02425101729482e+01,3.56871207191099e+00	9.49888650673831e-01,-1.48355671577250e-01
1.00693166885180e+08	6.87385695162402e-01,-1.87962039663754e-01	1.37612479247770e-03,1.10076921962556e-02	-2.02422599895204e+01,3.56949527516175e+00	9.49878103663917e-01,-1.48388209324572e-01
