Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.01041550052821e+09	(-5.71854299274238e+00dB,-1.14758242935269e+02°)	(-2.35217382284266e+01dB,4.91376519032322e+01°)	(2.10343854383216e+01dB,1.10612399561966e+02°)	(-6.04900224061112e+00dB,-5.84283719739996e+01°)
1.01064818408279e+09	(-5.71904313971176e+00dB,-1.14774810734428e+02°)	(-2.35208284056423e+01dB,4.91347451932635e+01°)	(2.10329696300509e+01dB,1.10603585076059e+02°)	(-6.05065331126265e+00dB,-5.84348067132279e+01°)
1.01088092122091e+09	(-5.71954321821780e+00dB,-1.14791379003903e+02°)	(-2.35199186409314e+01dB,4.91318395356521e+01°)	(2.10315536408632e+01dB,1.10594770680792e+02°)	(-6.05230468824565e+00dB,-5.84412410231558e+01°)
1.01111371195490e+09	(-5.72004319569806e+00dB,-1.14807947900050e+02°)	(-2.35190089454302e+01dB,4.91289348099283e+01°)	(2.10301374595866e+01dB,1.10585956255685e+02°)	(-6.05395639533996e+00dB,-5.84476746965781e+01°)
1.01134655629712e+09	(-5.72054310860547e+00dB,-1.14824517435872e+02°)	(-2.35180993291207e+01dB,4.91260308160172e+01°)	(2.10287210762031e+01dB,1.10577141600655e+02°)	(-6.05560840025072e+00dB,-5.84541082759760e+01°)
1.01157945425989e+09	(-5.72104295273133e+00dB,-1.14841087424345e+02°)	(-2.35171897686528e+01dB,4.91231279047628e+01°)	(2.10273045140269e+01dB,1.10568327066536e+02°)	(-6.05726071217560e+00dB,-5.84605413972526e+01°)
1.01181240585558e+09	(-5.72154269551608e+00dB,-1.14857658021532e+02°)	(-2.35162802751567e+01dB,4.91202259557351e+01°)	(2.10258877618920e+01dB,1.10559512532888e+02°)	(-6.05891335489706e+00dB,-5.84669738531059e+01°)
1.01204541109654e+09	(-5.72204240996667e+00dB,-1.14874229259699e+02°)	(-2.35153708693360e+01dB,4.91173245587357e+01°)	(2.10244707990589e+01dB,1.10550697589505e+02°)	(-6.06056626351446e+00dB,-5.84734067380873e+01°)
1.01227846999511e+09	(-5.72254198631090e+00dB,-1.14890801075393e+02°)	(-2.35144615182692e+01dB,4.91144243543591e+01°)	(2.10230536584132e+01dB,1.10541882876970e+02°)	(-6.06221953594451e+00dB,-5.84798383862431e+01°)
1.01251158256365e+09	(-5.72304149755556e+00dB,-1.14907373500924e+02°)	(-2.35135522426601e+01dB,4.91115249324108e+01°)	(2.10216363192151e+01dB,1.10533067985082e+02°)	(-6.06387310727752e+00dB,-5.84862698921300e+01°)
1.01274474881453e+09	(-5.72354094770244e+00dB,-1.14923946710900e+02°)	(-2.35126430643416e+01dB,4.91086259625226e+01°)	(2.10202187595960e+01dB,1.10524252583463e+02°)	(-6.06552696865725e+00dB,-5.84927016002043e+01°)
1.01297796876010e+09	(-5.72404032843127e+00dB,-1.14940520338193e+02°)	(-2.35117339374004e+01dB,4.91057281358465e+01°)	(2.10188010254333e+01dB,1.10515437363255e+02°)	(-6.06718113839962e+00dB,-5.84991327925301e+01°)
1.01321124241273e+09	(-5.72453963963424e+00dB,-1.14957094377153e+02°)	(-2.35108248611011e+01dB,4.91028314623898e+01°)	(2.10173831174264e+01dB,1.10506622334458e+02°)	(-6.06883561675136e+00dB,-5.85055634596404e+01°)
1.01344456978479e+09	(-5.72503881631486e+00dB,-1.14973669144141e+02°)	(-2.35099158584159e+01dB,4.90999356914814e+01°)	(2.10159650125673e+01dB,1.10497807246392e+02°)	(-6.07049045105529e+00dB,-5.85119931959593e+01°)
1.01367795088864e+09	(-5.72553796392234e+00dB,-1.14990244510567e+02°)	(-2.35090069381775e+01dB,4.90970405434811e+01°)	(2.10145467019873e+01dB,1.10488991819407e+02°)	(-6.07214555270201e+00dB,-5.85184232938756e+01°)
1.01391138573667e+09	(-5.72603700924181e+00dB,-1.15006820431988e+02°)	(-2.35080980782060e+01dB,4.90941464485669e+01°)	(2.10131282078304e+01dB,1.10480176483674e+02°)	(-6.07380098719949e+00dB,-5.85248526397685e+01°)
1.01414487434125e+09	(-5.72653595216912e+00dB,-1.15023396902455e+02°)	(-2.35071892777639e+01dB,4.90912534167828e+01°)	(2.10117095307983e+01dB,1.10471361249228e+02°)	(-6.07545675480752e+00dB,-5.85312812240977e+01°)
1.01437841671476e+09	(-5.72703486570439e+00dB,-1.15039973954771e+02°)	(-2.35062805575344e+01dB,4.90883610381868e+01°)	(2.10102906501718e+01dB,1.10462545706119e+02°)	(-6.07711279038837e+00dB,-5.85377101412039e+01°)
1.01461201286958e+09	(-5.72753367663474e+00dB,-1.15056551544403e+02°)	(-2.35053718953486e+01dB,4.90854697428411e+01°)	(2.10088715880840e+01dB,1.10453730284400e+02°)	(-6.07876915953296e+00dB,-5.85441382775909e+01°)
1.01484566281809e+09	(-5.72803242552281e+00dB,-1.15073129864569e+02°)	(-2.35044633237271e+01dB,4.90825789906452e+01°)	(2.10074523119783e+01dB,1.10444914443964e+02°)	(-6.08042582061056e+00dB,-5.85505665292718e+01°)
1.01507936657269e+09	(-5.72853107159631e+00dB,-1.15089708710129e+02°)	(-2.35035548086639e+01dB,4.90796893418376e+01°)	(2.10060328558248e+01dB,1.10436098745040e+02°)	(-6.08208281571900e+00dB,-5.85569939810497e+01°)
1.01531312414576e+09	(-5.72902965130119e+00dB,-1.15106288094654e+02°)	(-2.35026463601284e+01dB,4.90768005965017e+01°)	(2.10046132096182e+01dB,1.10427282987703e+02°)	(-6.08374011237319e+00dB,-5.85634211753010e+01°)
1.01554693554969e+09	(-5.72952812797894e+00dB,-1.15122867992899e+02°)	(-2.35017379666734e+01dB,4.90739129745868e+01°)	(2.10031933847698e+01dB,1.10418467391897e+02°)	(-6.08539774354959e+00dB,-5.85698475506033e+01°)
1.01578080079689e+09	(-5.73002654219441e+00dB,-1.15139448597838e+02°)	(-2.35008296608041e+01dB,4.90710259361809e+01°)	(2.10017733487385e+01dB,1.10409651417699e+02°)	(-6.08705566752870e+00dB,-5.85762740027285e+01°)
1.01601471989976e+09	(-5.73052488972258e+00dB,-1.15156029724193e+02°)	(-2.34999214192355e+01dB,4.90681398314018e+01°)	(2.10003531247734e+01dB,1.10400835415222e+02°)	(-6.08871389372041e+00dB,-5.85827001686283e+01°)
1.01624869287069e+09	(-5.73102317045730e+00dB,-1.15172611366188e+02°)	(-2.34990132412318e+01dB,4.90652546702828e+01°)	(2.09989327135742e+01dB,1.10392019394489e+02°)	(-6.09037242236127e+00dB,-5.85891260387962e+01°)
